smiles NumRings NumAromaticCarbocycles NumAromaticRings NumAliphaticRings NumAromaticHeterocycles NumHeteroatoms NumSaturatedHeterocycles NumSaturatedCarbocycles NumSaturatedRings NOCount
COC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)Cc1c[nH]c2cc(Cl)ccc12 4 3 4 0 1 14 0 0 0 13
O=C(O)CCc1ccc(OCc2cccc(Cl)c2)c(-c2cc(-c3ccc(F)cc3)n(Cc3ccccc3)n2)c1 5 4 5 0 1 7 0 0 0 5
CCC/C(=C1/SC(=S)N([C@@H](Cc2ccccc2)C(=O)O)C1=O)c1ccccc1 3 2 2 1 0 6 1 0 1 4
CCOC[C@@H]1CC[C@@H](CO[C@H]2CC[C@H](C(=O)O)CC2)N1C(=O)Cc1ccc2nc(Nc3cc(F)ccc3C)oc2c1F 5 2 3 2 1 11 1 1 2 9
COc1cccc(C2=Nn3c(nnc3-c3ccccc3O)SC2)c1 4 2 3 1 1 7 0 0 0 6
O=C(Nc1nnc(-c2ccccc2)s1)c1ccccc1O 3 2 3 0 1 6 0 0 0 5
C=C(C)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)[C@](O)(CCl)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12 3 0 0 3 0 7 1 2 3 6
CC1(C)CN(C(=O)Cc2ccc(Cl)c(F)c2-n2c(C3CCCCC3)nc(-c3nnc(N)o3)c2-c2ccc(F)c(Cl)c2)C1 6 2 4 2 2 12 1 1 2 8
CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1CCCN1C(=O)Nc1ccccc1[N+](=O)[O-] 5 4 4 1 0 10 1 0 1 10
CCCCCOc1ccc(C[C@H](NC(=O)c2c3ccccc3nc3ccccc23)C(=O)O)cc1 4 3 4 0 1 6 0 0 0 6
Cc1cc(Nc2ccc(N3CCN(C)CC3)cc2)n2nc(SCc3ccc(C(F)(F)F)cc3)nc2c1 5 2 4 1 2 10 1 0 1 6
CN(C)CCCN1C(=O)c2cccc3c([N+](=O)[O-])ccc(c23)C1=O 3 2 2 1 0 7 0 0 0 7
C[C@@]1(Cc2ccc(Br)cc2)C(=O)N(c2cc(Cl)cc(Cl)c2)c2ncc(S(=O)(=O)CCCO)n21 4 2 3 1 1 11 0 0 0 7
CCOC(=O)/C=C/n1nnnc1-c1cccc(Cl)c1 2 1 2 0 1 7 0 0 0 6
O=C(O)[C@@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(Cc2ccncc2)C(=O)[C@@H]1c1ccc(Cl)cc1 5 3 4 1 1 10 0 0 0 7
CC(C)(C)OC(=O)N[C@H](CCCCN)C(=O)N1CCCC(C(=O)NCCC(=O)O)C1 1 0 0 1 0 10 1 0 1 10
CN[C@@H](C)C(=O)Nc1nc2c(s1)CC[C@H]2C(=O)N[C@H]1CCCc2ccccc21 4 1 2 2 1 7 0 0 0 6
